timestamp,distance
1748704397,239
1748704397,238
1748704398,239
1748704398,239
1748704398,239
1748704398,239
1748704398,238
1748704399,240
1748704399,-1
1748704399,12
1748704399,9
1748704399,6
1748704400,4
1748704400,3
1748704400,3
1748704400,3
1748704401,3
1748704401,4
1748704401,4
1748704401,6
1748704401,10
1748704402,14
1748704402,18
1748704402,19
1748704402,23
1748704402,21
1748704403,21
1748704403,20
1748704403,20
1748704403,18
1748704403,19
1748704404,19
1748704404,18
1748704404,18
1748704404,19
1748704404,10
1748704405,-1
1748704405,18
1748704405,19
1748704405,19
1748704405,-1
1748704406,11
1748704406,14
1748704406,18
1748704406,18
1748704406,6
1748704407,5
1748704407,5
1748704407,6
1748704407,8
1748704407,19
1748704408,19
1748704408,18
1748704408,20
1748704408,19
1748704408,20
1748704409,19
1748704409,18
1748704409,19
1748704409,19
1748704409,19
1748704410,19
1748704410,19
1748704410,19
1748704410,19
1748704410,19
1748704411,19
1748704411,19
1748704411,19
1748704411,19
1748704411,18
1748704412,18
1748704412,20
1748704412,19
1748704412,19
1748704413,19
1748704413,19
1748704413,19
1748704413,19
1748704413,19
1748704414,19
1748704414,19
1748704414,19
1748704414,19
1748704414,19
1748704415,19
1748704415,19
1748704415,19
1748704415,19
1748704415,19
1748704416,19
1748704416,19
1748704416,19
1748704416,19
1748704416,19
1748704417,19
1748704417,19
1748704417,20
1748704417,20
1748704417,19
1748704418,19
1748704418,19
1748704418,19
1748704418,19
1748704418,19
1748704419,19
1748704419,19
1748704419,19
1748704419,19
1748704419,19
1748704420,19
1748704420,19
1748704420,19
1748704420,19
1748704420,19
1748704421,20
1748704421,20
1748704421,20
1748704421,19
1748704421,19
1748704422,19
1748704422,19
1748704422,19
1748704422,19
1748704422,19
1748704423,19
1748704423,19
1748704423,19
1748704423,19
1748704423,19
1748704424,18
1748704424,19
1748704424,19
1748704424,19
1748704424,19
1748704425,19
1748704425,19
1748704425,19
1748704425,19
1748704425,19
1748704426,19
1748704426,19
1748704426,19
1748704426,19
1748704426,19
1748704427,19
1748704427,19
1748704427,20
1748704427,19
1748704427,19
1748704428,19
1748704428,19
1748704428,19
1748704428,19
1748704429,19
1748704429,19
1748704429,19
1748704429,19
1748704429,19
1748704430,19
1748704430,19
1748704430,20
1748704430,20
1748704430,19
1748704431,19
1748704431,19
1748704431,19
1748704431,19
1748704431,19
1748704432,19
1748704432,19
1748704432,19
1748704432,19
1748704432,5
1748704433,5
1748704433,4
1748704433,5
